word,translation_en,translation_jp
der Umfangswinkel,the circumferential angle,円周角
die Quotientenfunktion,the quotient function,商関数
die Abszisse,the abscissa,横軸
die Wertemenge,the set of values,値のセット
der Fragebogen,the questionnaire,アンケート
die Halbebene,the demiplane,デミプレーン
die Gegenseite,the opposite side,反対側
abnehmend,decreasing,減少する
aufzählen,enumerate,列挙する
die Primfaktorzerlegung,the prime factorization,素因数分解
die quadratische Normalfunktion,the quadratic normal function,二次正規関数
das Krümmungverhalten,the curvature behavior,曲率挙動
die natürlichen Zahlen,the natural numbers,自然数
der Ereignisbaum,the event tree,イベントツリー
der Flächeninhalt,the area,地域
das lokale Minimum,the local minimum,極小値
die Ordinatenachse,the ordinate axis,縦軸
das lokale Maximum,the local maximum,極大値
der Begriff,the term,用語
der Inhalt,the content,内容
bestimmt,certainly,確かに
die Grenzsekante,the border secant,国境の割線
alternieren,alternate,代替
der Einer,the one,一つ
die Rechenregel,the calculation rule,計算ルール
die Vorgehensweise,the procedure,手順
der quadratische Faktor,the square factor,二乗因数
die Annäherung,the approach,アプローチ
der Hunderter,the hundred,百
daraus folgt,it follows,それは続きます
die Standardabweichung,the standard deviation,標準偏差
der Mittelpunktswinkel,the center angle,中心角
das Pfeildiagramm,the arrow diagram,アローダイアグラム
die Trefferwahrscheinlichkeit,the probability of hitting,当たる確率
der Differenzenquotient,the difference quotient,差の商
das Quadrat,the square,広場
das unmögliche Ereignis,the impossible event,不可能な出来事
besitzen,own,自分の
die Grenzlage,the border location,国境の位置
der Kehrwert,the reciprocal,相互
die Zahlen von 3 bis 10,the numbers from 3 to 10,3から10までの数字
der Differentialquotient,the differential quotient,微分商
der Minimalwert,the minimum value,最小値
die Häufigkeit,the frequency,周波数
die Warscheinlichkeitsverteilung,the probability distribution,確率分布
bezeichnen,designate,指定する
der Erwartungswert,the expected value,期待値
die Kotangensfunktion,the cotangent function,コタンジェント関数
der Wert,the value,値
das Divisionszeichen,the division symbol,除算記号
die Tiefe,the depth,深さ
die Streung,the scatter,散らばる
das offene Intervall,the open interval,開いた間隔
die Definition,the definition,定義
das unabhängige Experiment,the independent experiment,独立した実験
die Potenzrechnung,the power calculation,電力の計算
die surjektive Abbildung,the surjective mapping,全射写像
das Ungleichungssystem,the inequality system,不平等制度
der Umkreis,the perimeter,周囲
die Division,the division,部門
die Umkehrfunktion,the inverse function,逆関数
die Gegenereignisregel,the counter-event rule,カウンターイベントルール
das Vierfache,four times as much,4倍
die Einschränkung,the restriction,制限
das Doppelte,double,ダブル
das Gleichsetzungsverfahren,the equation procedure,方程式の手順
die Eigenschaft,the property,財産
die Umformung,the transformation,変革
das Monotonieverhalten,the monotonic behavior,単調な動作
das Steigungsverhalten,the gradient behavior,勾配の動作
der Limes,the Limes,ライムズ
der Berührungspunkt,the point of contact,連絡先
der Tiefpunkt,the low point,最低点
die Problemstellung,the problem statement,問題文
der Winkel,the angle,角度
das Elementarereignis,the elementary event,初歩的な出来事
an der Stelle,on the spot,その場で
der Term,the term,用語
der y-Wert,the y value,y 値
der Umfang,the scope,範囲
der Höhenschnittpunkt,the height intersection point,高さの交点
die Grenzgerade,the border straight,国境は真っ直ぐ
bedeuten,mean,平均
die Ziffer,the number,番号
die Unbekannte,the unknown,未知の
anhand,based on,に基づく
der Nullwert,the zero value,ゼロ値
die Diskriminante,the discriminant,判別式
die Normale,the normal one,普通のもの
das Minuszeichen,the minus sign,マイナス記号
das sichere Ereignis,the certain event,ある出来事
die Variable fällt heraus,the variable drops out,変数が抜け出す
die Halbgerade,the half-line,ハーフライン
der Nenner,the denominator,分母
die Ellipse,the ellipse,楕円
die Quadratwurzelfunktion,the square root function,平方根関数
die Exponentialfunktion,the exponential function,指数関数
das Allzeichen,the all-sign,オールサイン
die vertikale Asymptote,the vertical asymptote,垂直漸近線
die Teilung,the division,部門
die Menge der rationalen Zahlen,the set of rational numbers,有理数の集合
die Sekante,the secant,割線
die Parallele,the parallel,平行線
die Möglichkeit,the possibility,可能性
die gerade Funktion,the straight function,直線関数
das Einsetzungsverfahren,the appointment procedure,任命手続き
die ungerade Potenz,the odd power,奇妙な力
die Ableitung,the derivation,派生
die Breite,the width,幅
benötigen,need,必要
die Seitenlänge,the side length,辺の長さ
der Ring,the ring,指輪
das Fallen,the falling,落ちる
das Pluszeichen,the plus sign,プラス記号
die graphische Lösung,the graphic solution,グラフィックソリューション
die Aufgabe,the task,タスク
der Vektor,the vector,ベクトル
die zweite Wurzel aus 2,the second root of 2,2の2番目の根
der Inkreis,the incircle,内接円
die identische Funktion,the identical function,同一の機能
die relative Häufigkeit,the relative frequency,相対周波数
das lineare Gleischungssystem,the linear system of equations,線形方程式系
der Grenzwert,the limit value,限界値
die Hälfte,the half,半分
die Tangente an der Stelle,the tangent at the point,点における接線
abzählen,count,カウント
die Wurzel aus x,the root of x,xの根
der natürliche Logarithmus,the natural logarithm,自然対数
die Kreiszahl Pi,the circle number Pi,円周率Pi
die Aussage,the statement,声明
definieren,define,定義する
die gerade Potenz,the even power,均等な力
auf einer Geraden liegen,lie on a straight line,直線上に横たわる
die Potenz,the potency,効力
der Teiler,the divider,ディバイダー
die Gerade,the straight line,直線
der Nachfolger,the successor,後継者
der Mittelpunkt des Umkreises,the center of the circle,円の中心
der Kreis um A mit Radius r,the circle around A with radius r,Aの周りの半径rの円
der Zehnerlogarithmus,the ten logarithm,10の対数
der Schnittpunkt,the intersection point,交点
ausfüllen,fill out,記入する
das Diagramm,the diagram,図
das Substrahieren,the subtraction,引き算
die Kante,the edge,端
das Koordinatensystem,the coordinate system,座標系
die Reihe,the row,行
das Multiplikationszeichen,the multiplication sign,掛け算の記号
die Potenzfunktion,the power function,べき乗関数
die Abszissenachse,the abscissa axis,横軸
der Logarithmus,the logarithm,対数
das Potenzieren,the potentiation,増強
ausklammern,exclude,除外する
betrachten,regard,尊重する
die Komplementbildung,the complement formation,補体形成
das Monom,the monomial,単項式
die Exponentialfunktion zur Basis a,the exponential function to base a,aを底とする指数関数
die Rechtskurve,the right turn,右折
der Funktionsterm,the function term,関数項
die Bedingung erfüllen,fulfill the condition,条件を満たす
das Viertel,the quarter,四半期
der Exponentialwert von 6 zur Basis 3,the exponential value of 6 to base 3,6 を底 3 にした指数値
das Zahlenpaar,the pair of numbers,数字のペア
der Quotient,the quotient,商
das halboffene Intervall,the half-open interval,半開間隔
die Wurzel,the root,根
der Ereignisraum,the event space,イベントスペース
die Summe,the sum,合計
die Winkelhalbierende,the angle bisector,角の二等分線
die waagerechte Asymptote,the horizontal asymptote,水平漸近線
die Basis,the base,ベース
anstelle y einsetzen,insert instead of y,y の代わりに挿入
das Axiom,the axiom,公理
die Steigerung,the increase,増加
das Vielfache,the multiple,複数の
die dritte Wurzel aus 2,the third root of 2,2の3番目の根
das Zufallsexperiment,the random experiment,ランダムな実験
die Ebene,the level,レベル
der x-Wert,the x value,xの値
der Wendepunkt,the turning point,転換点
eine Gleichung ausetzen,suspend an equation,方程式を一時停止する
die disjunkten Teile,the disjoint parts,ばらばらの部分
eine Operation ausführen,perform an operation,操作を実行する
der Radius,the radius,半径
der Abstand zwischen zwei Kurven,the distance between two curves,2つの曲線の間の距離
das Zweiersystem,the two-system,2つのシステム
die Termdarstellung,the term representation,表現という用語
das Variationsverhalten,the variation behavior,変化行動
die Formel,the formula,式
die Produktdarstellung,the product presentation,製品プレゼンテーション
die Längeneinheit,the unit of length,長さの単位
der Ableitungswert,the derivative value,微分値
die Stichprobe,the sample,サンプル
das Gegenbeispiel,the counterexample,反例
die Darstellung,the representation,表現
die Stammfunktion,the antiderivative function,反微分関数
die ganzrationale Funktion,the entirely rational function,完全に有理関数
das Polynom,the polynomial,多項式
die Rechnung,the bill,請求書
die Wurzel ziehen,pull the root,根を引っ張る
das Element einer Menge,the element of a set,集合の要素
die notwendige Bedingung,the necessary condition,必要な条件
das Rechteck,the rectangle,長方形
die Quadratwurzel,the square root,平方根
die Erhebung,the survey,調査
die Ableitung von f an der Stelle x,the derivative of f at position x,位置 x における f の導関数
der Satz von Pythagoras,the Pythagorean theorem,ピタゴラスの定理
der Vorzeichenwechsel,the change of sign,符号の変更
das Folgeglied,the following member,次のメンバー
der Ursprung eines Koordinatensystems,the origin of a coordinate system,座標系の原点
die Vervielfachung,the multiplication,掛け算
die lineare Optimierung,the linear optimization,線形最適化
die geordnete Auswahl,the ordered selection,順序付けられた選択
die Permutation,the permutation,順列
das Wertepaar,the pair of values,値のペア
bzw. (beziehungsweise),or (respectively),または（それぞれ）
der Strahlensatz,the radiation theorem,放射定理
die Additionsregel,the addition rule,追加ルール
das Dreifache,three times as much,3倍
die Tangente an einer Kurve,the tangent on a curve,曲線上の接線
die Mengenlehre,set theory,集合論
die absolute Häufigkeit,the absolute frequency,絶対周波数
die konstante Funktion,the constant function,定数関数
die Quadratzahl,the square number,平方数
das Achsenkreuz,the axis cross,軸のクロス
die hinreichende Bedingung,the sufficient condition,十分条件
der Faktor,the factor,要因
der Erweiterungsfaktor,the expansion factor,拡大率
der Produktsatz,the product set,製品セット
die Menge aller Elemente von,the set of all elements of,のすべての要素のセット
das Verhältnis,the relationship,関係
der Symmetriepunkt,the point of symmetry,対称点
die x-Koordinate,the x coordinate,x座標
der Teil,the part,その部分
das Körpermaß,the body measurement,身体測定
der Exponent,the exponent,指数
die Kurve,the curve,曲線
das Element,the element,要素
das Anstiegsdreieck,the rising triangle,上昇三角形
der Scheitelpunkt,the vertex,頂点
die Verknüpfung,the link,リンク
die Zahlen,the numbers,数字
das Gegenereignis,the counter event,カウンターイベント
absteigen,descend,降りる
der Durchschnitt,the average,平均
das Verhalten einer Funktion,the behavior of a function,関数の動作
die Koordinaten,the coordinates,座標
die senkrechte Gerade,the vertical straight line,垂直の直線
der Prüfling,the examinee,受験生
die injektive Abbildung,the injective mapping,単射写像
der Anstieg,the rise,上昇
das geschlossene Intervall,the closed interval,閉じた間隔
die Variable,the variable,変数
der Abstand,the distance,距離
der Kubus,the cube,立方体
die Norm,the norm,標準
das Viereck,the square,広場
die Kehrzahl,the reciprocal,相互
der Durchmesser eines Kreises,the diameter of a circle,円の直径
der Koordinatenursprung,the coordinate origin,座標原点
die Wertetabelle,the table of values,価値観の表
die Stichprobenerhebung,the sample survey,サンプル調査
das Zweifache,twice as much,2倍
die Stelle,the spot,現場
die Anzahl an Punkten,the number of points,ポイント数
die horizontale Asymptote,the horizontal asymptote,水平漸近線
abziehen,deduct,控除する
das Intervall,the interval,間隔
die Umgebung einer Stelle,the surroundings of a place,ある場所の周囲
abstreichen,wipe off,拭き取る
das Bild,the picture,絵
die Ordinate,the ordinate,縦座標
die erste Ableitung,the first derivative,一次導関数
die Bernouillikette,the Bernouilli chain,ベルヌーイ連鎖
das rechnerische Verfahren,the computational procedure,計算手順
die Fläche,the area,地域
verallgemeinern,generalize,一般化する
der Mittelpunkt des Inkreises,the center of the incircle,内接円の中心
das Anfangsglied,the initial link,最初のリンク
die Funktion,the function,機能
der Ursprung,the origin,起源
die Tafel,the whiteboard,ホワイトボード
die Regel,the rule,ルール
die ganzen Zahlen,the whole numbers,整数
die Ergebnismenge,the result set,結果セット
die Höhe,the height,高さ
der Vorgänger,the predecessor,前任者
die Gegenzahl,the opposite number,反対の数字
das Zentrum,the center,中心
das Ergebnis,the result,結果
der Maßstab,the scale,スケール
das Vorzeichenfeld,the sign field,サインフィールド
das Änderungsverhalten,the change behavior,変化行動
das Glied,the limb,手足
das Parallelogramm,the parallelogram,平行四辺形
die eulersche Zahl,the Euler number,オイラー数
die Zahl,the number,番号
der Extremwert,the extreme value,極値
die Symmetrieeigenschaft,the symmetry property,対称性
die Vereinigung,the union,組合
die Seite,the page,ページ
die Ecken eines Vielecks,the corners of a polygon,多角形の角
die Strecke,the route,ルート
ausrechnen,calculate,計算する
die Nummer,the number,番号
die ungeordnete Auswahl,the unordered selection,順序付けされていない選択
der y-Achsenabschnitt,the y-intercept,y 切片
die y-Achse,the y-axis,Y軸
achsensymmetrisch,axisymmetric,軸対称
die Addition,the addition,追加
die Methode,the method,方法
das Rechnen,the calculation,計算
der Abschnitt,the section,セクション
das Integral,the integral,積分
die Anzahl an Elementen,the number of elements,要素の数
der linksseitige Grenzwert,the left-hand limit,左側の限界
das Malzeichen,the mark,マーク
das Symmetriezentrum,the center of symmetry,対称の中心
die Zufallsvariable,the random variable,確率変数
der Vektorraum,the vector space,ベクトル空間
der Bogen,the bow,弓
die Wendetangente,the turning tangent,回転接線
das Dreieck,the triangle,三角形
das Additionsverfahren,the addition process,追加プロセス
die Parabel,the parable,たとえ話
die Lösungsmenge,the solution quantity,溶液の量
der Bruch,the break,休憩
die Summenfunktion,the sum function,合計関数
die Konjunktion,the conjunction,接続詞
die Tangente an die Kurve,the tangent to the curve,曲線の接線
die Beziehung,the relationship,関係
die Funktionsgleichung,the functional equation,関数方程式
die Stetigkeit,the continuity,継続性
die Lösung,the solution,解決策
die Hyperbel,the hyperbola,双曲線
das Vorzeichen,the sign,サイン
beschränkt,limited,限定
das Wurzelzeichen,the root symbol,ルートシンボル
anwenden,apply,適用する
der Faktor der höchsten Potenz,the factor of the highest power,最大電力の係数
die Zufallsgröße,the random size,ランダムなサイズ
das Gleichungssystem,the system of equations,方程式系
die Produktfunktion,the product function,製品の機能
die Achse,the axis,軸
"anstelle x, y einsetzen",insert y instead of x,xの代わりにyを挿入してください
der Definitionsbereich,the definition area,定義エリア
die Figur,the figure,数字
das Symbol,the symbol,シンボル
die Wahrscheinlichkeitsrechnung,the probability calculation,確率の計算
der Lösungsweg,the solution,解決策
der Rhombus,the rhombus,ひし形
beweisen,prove,証明する
die Differentialrechnung,the differential calculus,微分積分
behaupten,claim,請求
das Produkt,the product,製品
die rationalen Zahlen,the rational numbers,有理数
die Menge der ganzen Zahlen,the set of integers,整数の集合
das Maximum,the maximum,最大の
die zweite Ableitung,the second derivative,二次導関数
der Radius eines Kreises,the radius of a circle,円の半径
die Grundmenge,the base quantity,基本量
annehmen,assume,仮定する
das Minimum,the minimum,最低限の
die lineare Funktion,the linear function,一次関数
die Mittelsenkrechte,the perpendicular bisector,垂直二等分線
die Determinante,the determinant,決定要因
das Existenzsymbol,the symbol of existence,存在の象徴
der Scheitelpunkt einer Kurve,the apex of a curve,曲線の頂点
der Koeffizient,the coefficient,係数
das bestimmte Integral,the definite integral,定積分
ableitbar,derivable,導出可能
anschließend,afterward,その後
der rechtsseitige Grenzwert,the right-hand limit value,右側の限界値
die Tangensfunktion,the tangent function,正接関数
das Gesetz der grossen Zahlen,the law of large numbers,大数の法則
beschreiben,describe,説明する
die Ableitungsfunktion,the derivative function,導関数
die schiefe Asymptote,the skewed asymptote,歪んだ漸近線
die Sinusfunktion,the sine function,正弦関数
der Hauptnenner,the main denominator,主な分母
die kubische Normalfunktion,the cubic normal function,3次正規関数
der Kreisbogen,the circular arc,円弧
die bijektive Abbildung,the bijective mapping,全単射マッピング
der Parameter,the parameters,パラメータ
die binomische Formel,the binomial formula,二項式
die senkrechte Asymptote,the vertical asymptote,垂直漸近線
die Bedingung,the condition,状態
die Symmetrieachse,the axis of symmetry,対称軸
das Verfahren,the procedure,手順
der Beweis,the proof,証拠
die Anzahl,the number,番号
die Kubikzahl,the cubic number,立方数
das Rechenzeichen,the arithmetic symbol,算術記号
das Zwölfersystem,the twelve system,十二系
das Lineal,the ruler,定規
die Länge,the length,長さ
das Extremum,the extremum,極値
der Kreis,the circle,サークル
die einfache Nullstelle,the simple zero,シンプルなゼロ
die Differenzenfunktion,the difference function,差分関数
die Beweisführung,the evidence,証拠
die Abbildung,the illustration,イラスト
die Maßeinheit,the unit of measurement,測定単位
die stetige Funktion,the continuous function,連続関数
die Menge der reellen Zahlen,the set of real numbers,実数の集合
der Kreis um A,the circle around A,Aの周りの円
ausmultiplizieren,multiply out,乗算する
die Ungleichung,the inequality,不平等
eine Gleichung ansetzen,set up an equation,方程式を立てる
beliebig,any,どれでも
das Zehnersystem,the ten system,テンシステム
begründen,justify,正当化する
das Baumdiagramm,the tree diagram,樹形図
der Schwerpunkt,the focus,焦点
der Körper,the body,体
die graphische Darstellung,the graphic representation,グラフィック表現
der Grundsatz,the principle,原則
der Wertebereich,the range of values,値の範囲
die bedingte Wahrscheinlichkeit,the conditional probability,条件付き確率
der Logarithmus von drei zur Basis 10,the logarithm of three to base 10,3 を底とする 10 の対数
das Flächenmaß,the area measure,面積の測定
der Binomialkoeffizient,the binomial coefficient,二項係数
die Proportion,the proportion,割合
addieren,add,追加
der Abstand zwischen zwei Punkten,the distance between two points,2 点間の距離
der Zehner,the tenner,テナー
die arithmetische Folge,the arithmetic progression,等差数列
die Schreibweise,the spelling,スペル
die Ecke,the corner,隅
die Seitenhalbierende,the bisector,二等分線
der Strahl,the beam,ビーム
die Menge der natürlichen Zahlen,the set of natural numbers,自然数の集合
der Zirkel,the circle,サークル
das Lösungspaar,the pair of solutions,ソリューションのペア
ableiten,derive,導き出す
die ungerade Funktion,the odd function,奇関数
bestimmen,determine,決定する
die Monotonieregel,the monotonicity rule,単調性の法則
der Würfel,the cube,立方体
die Zuordnung,the assignment,割り当て
die Linkskurve,the left turn,左折
die Kosinusfunktion,the cosine function,コサイン関数
der Funktionsgraph,the function graph,関数グラフ
das Maß,the measure,尺度
der Mittelpunkt,the center,中心
aufrunden,round up,切り上げする
die Äquivalenz,the equivalence,等価性
die komplexen Zahlen,the complex numbers,複素数
das Lot,the plumb line,鉛直線
der Halbkreis,the semicircle,半円
der Punkt,the point,要点
ausführen,carry out,実行する
die Teilmenge,the subset,サブセット
die Menge der Dezimalzahlen,the amount of decimal numbers,小数の量
die Differenz,the difference,違い
der Maximalwert,the maximum value,最大値
die eckige Klammer,the square bracket,角括弧
das Trapez,the trapeze,空中ブランコ
der Durchmesser,the diameter,直径
das Theorem,the theorem,定理
die xy-Ebene,the xy plane,xy平面
die Umgebung einer Zahl,the environment of a number,数字の環境
die Klammer,the bracket,ブラケット
die Implikation,the implication,意味合い
der Tausender,the thousand,千
die Betragsfunktion,the amount function,金額関数
die Zuordnungstabelle,the allocation table,割り当てテーブル
die Strichrechnung,the line calculation,ライン計算
die Zeichnung,the drawing,図面
das Dezimalsystem,the decimal system,10進法
die Senkrechte,the vertical,垂直の
das graphische Verfahren,the graphic process,グラフィックプロセス
der Bruchstrich,the fraction line,分数線
berechnen,calculate,計算する
gebrauchen,use,使用
präzisieren,specify,特定
linksgekrümmt,curved to the left,左に曲がった
geeignet,suitable,適切な
stellen,place,場所
die Klammer auflösen,dissolve the bracket,ブラケットを溶かす
untersuchen,investigate,調査する
gegen plus unendlich streben,strive towards plus infinity,プラスの無限大を目指して
vereinigt mit,united with,と団結した
vereinfacht,simplified,簡略化された
es gelten die folgenden Aussagen,the following statements apply,次の記述が適用されます
eine reelle Zahl,a real number,実数
daraus ergibt sich für alle Dreiecke die Formel,This results in the formula for all triangles,これにより、すべての三角形の公式が得られます。
stetig,steadily,着実に
sonst,otherwise,さもないと
rechtwinkliges Dreieck,right triangle,直角三角形
vermindert um,reduced by,によって削減される
daraus folgt,it follows,それは続きます
schneiden,cut,カット
vergleichen,compare,比較する
gegeben sind,are given,与えられる
gleichnamig setzen,put with the same name,同じ名前で置く
vereinbar,compatible,互換性がある
Die Umkehrung,The reversal,逆転
eine Eigenschaft beweisen,prove a property,財産を証明する
in etw. enthalten sein,to be contained in sth,sth に含まれる
und,and,そして
faktorisieren,factorize,因数分解する
ermitteln,determine,決定する
Ich dividiere durch 5,I divide by 5,5で割ります
voraussetzen,assume,仮定する
vernachlässigen,neglect,無視する
mit Beachtung der Reihenfolge,with attention to the order,順序に注意して
keiner der beiden,neither of them,どちらでもない
streng fallend,strictly falling,厳密に落ちる
maximieren,maximize,最大化する
verdreifachen,triple,トリプル
minimieren,minimize,最小化する
es ergibt sich die Gleichheit,Equality results,平等の結果
raten,guess,推測
wenn nicht,unless,ない限り
es ergibt sich der Wert,the value results,値の結果
führen,lead,鉛
entsprechen,are equivalent to,と同等です
unbestimmt,indefinite,不定
positiv,positive,ポジティブ
überprüfen ob,check whether,かどうかを確認してください
eine ganze Zahl,an integer,整数
ungefähr,approximately,約
gleichständig,equal,等しい
senkrecht,perpendicular,垂直
es handelt sich um,it is a matter of,それは問題です
Eine Hypothese aufstellen,Create a hypothesis,仮説を立てる
durch einen Punkt gehen,go through a point,点を通過する
"GGT, der größte gemeinsame Teiler","GGT, the greatest common divisor",GGT、最大公約数
parallel zu einer Geraden,parallel to a straight line,直線に平行
erfüllen,fulfill,満たす
einsetzen,insert,入れる
steigen,climb,登る
ungleich Null,not equal to zero,ゼロに等しくない
übertragen,transmitted,送信されました
also,so,それで
"KGV, das kleinste gemeinsame Vielfache","P/E ratio, the least common multiple",PER、最小公倍数
gleich Null,equal to zero,ゼロに等しい
die Schlussfolgerung,the conclusion,結論
nehmen wir an dass,let's assume that,それを仮定しましょう
numerieren,number,番号
eine Wurzel,a root,根
der Schluss,the conclusion,結論
gerade,straight,真っ直ぐ
umwandeln,convert,変換する
umkehren,reverse,逆行する
paarweise disjunkt,disjoint in pairs,ペアが素である
senkrecht zu einer Geraden,perpendicular to a straight line,直線に垂直な
sich mit etw. befassen,to deal with sth,sthに対処する
streng steigend,strictly rising,厳密に上昇
ein einheitliches Vorzeichen,a uniform sign,ユニフォームのサイン
isolieren,isolate,隔離する
vermuten,assume,仮定する
eine irrationale Zahl,an irrational number,無理数
man kann daraus schliessen,one can conclude from this,これから結論付けることができます
eindeutig,clearly,明らかに
vermindern,reduce,減らす
vielfach,many times,何度も
symmetrisch zum Punkt A,symmetrical to point A,点Aに対して対称
geteilt,divided,分割された
eine Potenz,a power,力
horizontal,horizontal,水平
ein gleichschenkliges Dreieck,an isosceles triangle,二等辺三角形
gegeben ist,is given,与えられる
entstehen,arise,起きる
ersetzen,substitute,代わりの
ungleich,unequal,不平等
für x gegen plus unendlich,for x towards plus infinity,x の場合はプラスの無限大に向けて
eine Rechnung,an invoice,請求書
man kann daraus folgern,one can conclude from this,これから結論付けることができます
erhalten,receive,受け取る
zusammenzählen,add up,合計する
hoch drei,to the power of three,3 乗
doppelt,double,ダブル
eine Zahl mit einer anderen multiplizieren,multiply one number by another,ある数値と別の数値を掛ける
Am Ende eines Beweises schreibt man,At the end of a proof you write,証明の最後に次のように書きます
mehrstufig,multi-stage,多段式
folglich,consequently,その結果
schreiben,write,書く
fallend,falling,落ちる
die Behauptung,the claim,主張
gelten,apply,適用する
ein gleichseitiges Dreieck,an equilateral triangle,正三角形
beziehungsweise,respectively,それぞれ
weil,because,なぜなら
dividieren durch,divide by,で割る
parallel,parallel,平行
streichen,cancel,キャンセル
rechnen,calculate,計算する
zwei Punkte verbinden,connect two points,2点を結ぶ
skizzieren,sketch,スケッチ
einer Sache zugrunde liegen,underlie something,何かの根底にある
ergänzen,add to,に追加
mit Zurücklegen,with putting it back,元に戻すと
angenommen dass,assumed that,と仮定した
eine Funktion,a function,関数
vermehren,multiply,乗算する
da,there,そこには
zunehmend,increasingly,ますます
vervielfachen,multiply,乗算する
kürzen,shorten,短くする
einen Punkt setzen,put a point,点を置く
zeichnen,draw,描く
weder noch,neither nor,どちらでもない
ohne Null,without zero,ゼロなし
erstellen,create,作成する
rechnerisch,computationally,計算的に
eine Rechnung durchführen,carry out an invoice,請求書を発行する
eine Operation,an operation,手術
es gilt die folgende Formel,the following formula applies,次の式が適用されます
gleichwahrscheinlich,equally likely,同じくらいの確率で
schrittweise,gradually,徐々に
geringer,lower,より低い
ganz,quite,とても
nicht beide zugleich,not both at the same time,両方同時にではない
waagerecht,horizontally,水平方向
zunehmen,gain weight,体重が増える
denn,because,なぜなら
eintragen,register,登録する
errichten,build,建てる
potenzieren,potentiate,強化する
eine natürliche Zahl,a natural number,自然数
verschieden,different,違う
dann,then,それから
"angenommen, es wäre nicht so",suppose it wasn't so,そうではなかったと思います
die Grundvoraussetzung,the basic requirement,基本的な要件
folgern,conclude,結論する
ist eine Teilmenge von,is a subset of,のサブセットです
ordnen,arrange,整える
Nach dem Satz gilt,According to the sentence:,文によると：
konstruieren,construct,構築する
wiedergeben,reproduce,再現する
die Voraussetzung,the prerequisite,前提条件
mit wachsendem x,with increasing x,x が増加するにつれて
streng monoton,strictly monotonous,まったく単調な
etw. annehmen,accept sth,受け入れます
die Annahme,the acceptance,受け入れ
einzig,only,のみ
kleiner,smaller,小さい
senkrecht auf einer Geraden,perpendicular to a straight line,直線に垂直な
zu etw. gehören,belong to sth,sthに所属
es ergibt sich,it turns out,それは判明しました
gleichschenkliges Dreieck,isosceles triangle,二等辺三角形
mit Hilfe des Lineals,with the help of the ruler,支配者の助けを借りて
gleichschenklig,isosceles,二等辺三角形
zusammenfassen,summarize,要約する
graphisch,graphically,グラフィック的に
geordnet,ordered,注文した
vertikal,vertical,垂直
symmetrisch zur y-Achse,symmetrical to the y-axis,y 軸に対して対称
eine Summe berechnen,calculate a sum,合計を計算する
ungerade,odd,奇数
schraffieren,hatch,ハッチ
oder,or,または
wählen,choose,選ぶ
entsprechend,accordingly,それに応じて
ein rechtwinkliges Dreieck,a right triangle,直角三角形
einen Abstand messen,measure a distance,距離を測る
teilbar,divisible,割り切れる
ungleich sein,be unequal,不平等である
verwandeln,transform,変身
löse nach x auf,solve for x,xを解く
f strich,f struck,打った
gleich sein,be the same,同じである
das widerspicht der Annahme,that contradicts the assumption,それは仮定に矛盾します
Werte annehmen,Accept values,値を受け入れる
vervollständigen,complete,完了
lösen,solve,解決する
abzählbar,countable,数えられる
